﻿Fecha,Hora,Magnitud,Profundidad,Referencia de localizacion
1937-07-25,21:47:13,7.3,85.0,"24 km al NORTE de TRES VALLES, VER"
1937-10-06,03:47:18,6.9,100.0,"20 km al NORTE de CHILAPA DE ALVAREZ, GRO"
1937-12-23,07:17:58,7.4,33.0,"46 km al SUROESTE de H TLAXIACO, OAX"
1937-12-25,00:03:25,6.5,33.0,"54 km al SUROESTE de RIO GRANDE, OAX"
1939-05-02,07:14:47,6.7,33.0,"179 km al NORESTE de GUERRERO NEGRO, BCS"
1939-12-05,02:30:07,6.7,33.0,"73 km al SURESTE de CD HIDALGO, CHIS"
1940-05-18,22:36:41,7.1,33.0,"5 km al NOROESTE de MEXICALI, BC"
1940-07-27,07:32:30,6.7,90.0,"85 km al SURESTE de CD HIDALGO, CHIS"
1941-04-15,13:09:51,7.6,33.0,"25 km al NORESTE de COALCOMAN, MICH"
1942-06-20,04:02:07,6.7,100.0,"43 km al NORTE de HUETAMO, MICH"
1942-08-06,17:36:59,7.9,50.0,"93 km al ESTE de CD HIDALGO, CHIS"
1942-11-11,22:55:34,6.7,90.0,"75 km al SUR de LAS CHOAPAS, VER"
1943-02-22,03:20:45,7.4,33.0,"20 km al NORESTE de PETATLAN, GRO"
1943-08-31,10:10:40,6.7,80.0,"85 km al SURESTE de CD HIDALGO, CHIS"
1943-09-23,09:00:44,6.7,110.0,"71 km al ESTE de CACAHOATAN, CHIS"
1944-01-10,14:09:52,6.5,33.0,"46 km al SUROESTE de TECPAN, GRO"
1944-06-28,01:58:54,7.1,33.0,"16 km al SUR de HUIXTLA, CHIS"
1945-06-27,07:08:20,6.8,33.0,"102 km al SUR de H GUAYMAS, SON"
1945-06-29,23:31:18,6.7,33.0,"841 km al SUROESTE de CABO SAN LUCAS, BCS"
1945-10-11,10:53:02,6.5,95.0,"31 km al SUROESTE de TEHUACAN, PUE"
1945-10-27,05:24:41,6.7,200.0,"98 km al ESTE de CACAHOATAN, CHIS"
1946-06-06,22:13:20,6.5,100.0,"31 km al NOROESTE de ARRIAGA , CHIS"
1946-07-10,22:46:42,6.9,130.0,"59 km al ESTE de MATIAS ROMERO, OAX"
1948-01-06,11:23:36,6.9,80.0,"45 km al SUROESTE de H TLAXIACO, OAX"
1948-01-06,11:25:58,7.0,80.0,"45 km al SUROESTE de H TLAXIACO, OAX"
1948-08-11,04:36:19,6.5,100.0,"31 km al SURESTE de J RODRIGUEZ CLARA, VER"
1948-12-03,18:22:48,6.9,33.0,"116 km al SUROESTE de TECUALA, NAY"
1950-09-29,00:32:20,7.0,60.0,"257 km al SUROESTE de PUERTO VALLARTA, JAL"
1950-10-21,03:42:58,6.6,33.0,"225 km al SUROESTE de CIHUATLAN, JAL"
